TimeStamp,turbine_power1,turbine_power10,ws
2020-11-25 10:10:00,1665.31,1293.54,7.51
2020-11-25 10:20:00,1235.76,1743.99,7.65
2020-11-25 10:30:00,1401.42,1774.68,8.03
2020-11-25 10:40:00,1811.64,1992.87,8.59
2020-11-25 10:50:00,1845.52,2185.95,8.58
2020-11-25 11:00:00,1842.43,1853.16,8.35
2020-11-25 11:10:00,1760.43,1449.84,7.76
2020-11-25 11:20:00,1837.97,1835.98,7.93
2020-11-25 11:30:00,1819.0,2138.79,8.03
2020-11-25 11:40:00,1471.77,1857.26,7.83
2020-11-25 11:50:00,1127.0,1426.04,7.41
2020-11-25 12:00:00,944.5,1010.5,7.12
2020-11-25 12:10:00,566.6,729.11,6.58
2020-11-25 12:20:00,452.04,677.22,6.14
2020-11-25 12:30:00,485.14,596.36,5.77
2020-11-25 12:40:00,411.8,678.31,5.64
2020-11-25 12:50:00,471.75,518.35,5.57
2020-11-25 13:00:00,543.85,401.36,5.75
2020-11-25 13:10:00,559.37,517.96,6.15
2020-11-25 13:20:00,704.88,515.22,6.15
2020-11-25 13:30:00,884.83,868.65,6.47
2020-11-25 13:40:00,768.24,864.56,6.39
2020-11-25 13:50:00,775.02,1050.9,6.57
2020-11-25 14:00:00,975.59,1215.64,6.95
2020-11-25 14:10:00,1159.51,1248.51,7.27
2020-11-25 14:20:00,970.59,1304.46,7.36
2020-11-25 14:30:00,1075.74,1237.18,7.15
2020-11-25 14:40:00,965.78,919.49,6.54
2020-11-25 14:50:00,987.18,736.13,6.62
2020-11-25 15:00:00,1099.53,1379.56,7.47
2020-11-25 15:10:00,570.17,1138.38,6.67
2020-11-25 15:20:00,631.13,819.14,6.31
2020-11-25 15:30:00,513.93,750.29,6.16
2020-11-25 15:40:00,450.77,912.14,6.24
2020-11-25 15:50:00,410.65,564.08,5.95
2020-11-25 16:00:00,489.33,577.61,6.02
2020-11-25 16:10:00,636.5,981.09,6.22
2020-11-25 16:20:00,622.72,1305.32,6.59
2020-11-25 16:30:00,590.79,963.67,6.41
2020-11-25 16:40:00,480.72,874.9,6.14
2020-11-25 16:50:00,498.48,453.44,5.64
2020-11-25 17:00:00,339.72,593.8,5.51
2020-11-25 17:10:00,383.0,775.34,5.68
2020-11-25 17:20:00,663.98,894.63,5.97
2020-11-25 17:30:00,793.6,724.09,6.16
2020-11-25 17:40:00,678.64,709.86,6.14
2020-11-25 17:50:00,925.46,772.46,6.39
2020-11-25 18:00:00,1203.18,1035.43,6.86
2020-11-25 18:10:00,1242.91,1171.51,7.17
2020-11-25 18:20:00,1423.2,1391.48,7.78
2020-11-25 18:30:00,1478.88,1454.99,7.97
2020-11-25 18:40:00,1392.79,1242.38,7.49
